     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata
       100,         0,         0,   0.103,pymatching,764e25ccb2c714c717dc53c9f200317e85213c780425f45c2fb11dafd5965cd3,"{""code"":""double_measurement_surface_code"",""d"":5,""noise_model"":""SD6_20"",""p"":0.0005,""rounds"":1}"
       200,         1,         0,   0.006,pymatching,764e25ccb2c714c717dc53c9f200317e85213c780425f45c2fb11dafd5965cd3,"{""code"":""double_measurement_surface_code"",""d"":5,""noise_model"":""SD6_20"",""p"":0.0005,""rounds"":1}"
       100,         0,         0,   0.105,pymatching,681a9259eb1bccc89e224b1b805a4129dec9e42d4b94b9e67fc5aa07201b3da0,"{""code"":""double_measurement_surface_code"",""d"":5,""noise_model"":""SD6_20"",""p"":0.0009500000000000001,""rounds"":1}"
       100,         0,         0,   0.103,pymatching,3bc82cc4825aae95adf060b7e06a05faf11f9cd0fc7ee7cd7d37128d576ac6d4,"{""code"":""double_measurement_surface_code"",""d"":5,""noise_model"":""SD6_20"",""p"":0.0007250000000000001,""rounds"":1}"
       600,         0,         0,   0.007,pymatching,764e25ccb2c714c717dc53c9f200317e85213c780425f45c2fb11dafd5965cd3,"{""code"":""double_measurement_surface_code"",""d"":5,""noise_model"":""SD6_20"",""p"":0.0005,""rounds"":1}"
       300,         1,         0,   0.006,pymatching,764e25ccb2c714c717dc53c9f200317e85213c780425f45c2fb11dafd5965cd3,"{""code"":""double_measurement_surface_code"",""d"":5,""noise_model"":""SD6_20"",""p"":0.0005,""rounds"":1}"
       600,         1,         0,   0.008,pymatching,764e25ccb2c714c717dc53c9f200317e85213c780425f45c2fb11dafd5965cd3,"{""code"":""double_measurement_surface_code"",""d"":5,""noise_model"":""SD6_20"",""p"":0.0005,""rounds"":1}"
       100,         1,         0,   0.111,pymatching,382d22cdcbf81d18759e90c47c38c2aa9fe9076c0f1e23c163773ab60c1369c6,"{""code"":""double_measurement_surface_code"",""d"":5,""noise_model"":""SD6_20"",""p"":0.0014000000000000002,""rounds"":1}"
       100,         3,         0,   0.105,pymatching,9096bf4cd0a5377440dff682e708191d3ac149a42c4b3538af562085b54907aa,"{""code"":""double_measurement_surface_code"",""d"":5,""noise_model"":""SD6_20"",""p"":0.0016250000000000001,""rounds"":1}"
       200,         1,         0,   0.007,pymatching,3bc82cc4825aae95adf060b7e06a05faf11f9cd0fc7ee7cd7d37128d576ac6d4,"{""code"":""double_measurement_surface_code"",""d"":5,""noise_model"":""SD6_20"",""p"":0.0007250000000000001,""rounds"":1}"
      1800,         0,         0,   0.013,pymatching,764e25ccb2c714c717dc53c9f200317e85213c780425f45c2fb11dafd5965cd3,"{""code"":""double_measurement_surface_code"",""d"":5,""noise_model"":""SD6_20"",""p"":0.0005,""rounds"":1}"
      1200,         0,         0,   0.010,pymatching,764e25ccb2c714c717dc53c9f200317e85213c780425f45c2fb11dafd5965cd3,"{""code"":""double_measurement_surface_code"",""d"":5,""noise_model"":""SD6_20"",""p"":0.0005,""rounds"":1}"
      2400,         2,         0,   0.016,pymatching,764e25ccb2c714c717dc53c9f200317e85213c780425f45c2fb11dafd5965cd3,"{""code"":""double_measurement_surface_code"",""d"":5,""noise_model"":""SD6_20"",""p"":0.0005,""rounds"":1}"
       600,         2,         0,   0.009,pymatching,3bc82cc4825aae95adf060b7e06a05faf11f9cd0fc7ee7cd7d37128d576ac6d4,"{""code"":""double_measurement_surface_code"",""d"":5,""noise_model"":""SD6_20"",""p"":0.0007250000000000001,""rounds"":1}"
      3600,         1,         0,   0.021,pymatching,764e25ccb2c714c717dc53c9f200317e85213c780425f45c2fb11dafd5965cd3,"{""code"":""double_measurement_surface_code"",""d"":5,""noise_model"":""SD6_20"",""p"":0.0005,""rounds"":1}"
       100,         0,         0,   0.106,pymatching,69e025b775d7963289785fc2f03dafffff126939b224e34911ca12520cf1eca9,"{""code"":""double_measurement_surface_code"",""d"":5,""noise_model"":""SD6_20"",""p"":0.001175,""rounds"":1}"
      1200,         0,         0,   0.011,pymatching,764e25ccb2c714c717dc53c9f200317e85213c780425f45c2fb11dafd5965cd3,"{""code"":""double_measurement_surface_code"",""d"":5,""noise_model"":""SD6_20"",""p"":0.0005,""rounds"":1}"
      1800,         3,         0,   0.015,pymatching,3bc82cc4825aae95adf060b7e06a05faf11f9cd0fc7ee7cd7d37128d576ac6d4,"{""code"":""double_measurement_surface_code"",""d"":5,""noise_model"":""SD6_20"",""p"":0.0007250000000000001,""rounds"":1}"
      7200,         3,         0,   0.035,pymatching,764e25ccb2c714c717dc53c9f200317e85213c780425f45c2fb11dafd5965cd3,"{""code"":""double_measurement_surface_code"",""d"":5,""noise_model"":""SD6_20"",""p"":0.0005,""rounds"":1}"
      9600,         4,         0,   0.044,pymatching,764e25ccb2c714c717dc53c9f200317e85213c780425f45c2fb11dafd5965cd3,"{""code"":""double_measurement_surface_code"",""d"":5,""noise_model"":""SD6_20"",""p"":0.0005,""rounds"":1}"
      7200,         9,         0,   0.035,pymatching,764e25ccb2c714c717dc53c9f200317e85213c780425f45c2fb11dafd5965cd3,"{""code"":""double_measurement_surface_code"",""d"":5,""noise_model"":""SD6_20"",""p"":0.0005,""rounds"":1}"
      5400,        10,         0,   0.034,pymatching,3bc82cc4825aae95adf060b7e06a05faf11f9cd0fc7ee7cd7d37128d576ac6d4,"{""code"":""double_measurement_surface_code"",""d"":5,""noise_model"":""SD6_20"",""p"":0.0007250000000000001,""rounds"":1}"
     14400,        10,         0,   0.062,pymatching,764e25ccb2c714c717dc53c9f200317e85213c780425f45c2fb11dafd5965cd3,"{""code"":""double_measurement_surface_code"",""d"":5,""noise_model"":""SD6_20"",""p"":0.0005,""rounds"":1}"
      2700,         2,         0,   0.020,pymatching,3bc82cc4825aae95adf060b7e06a05faf11f9cd0fc7ee7cd7d37128d576ac6d4,"{""code"":""double_measurement_surface_code"",""d"":5,""noise_model"":""SD6_20"",""p"":0.0007250000000000001,""rounds"":1}"
      5400,        14,         0,   0.034,pymatching,3bc82cc4825aae95adf060b7e06a05faf11f9cd0fc7ee7cd7d37128d576ac6d4,"{""code"":""double_measurement_surface_code"",""d"":5,""noise_model"":""SD6_20"",""p"":0.0007250000000000001,""rounds"":1}"
     21600,        15,         0,   0.093,pymatching,764e25ccb2c714c717dc53c9f200317e85213c780425f45c2fb11dafd5965cd3,"{""code"":""double_measurement_surface_code"",""d"":5,""noise_model"":""SD6_20"",""p"":0.0005,""rounds"":1}"
       200,         3,         0,   0.006,pymatching,681a9259eb1bccc89e224b1b805a4129dec9e42d4b94b9e67fc5aa07201b3da0,"{""code"":""double_measurement_surface_code"",""d"":5,""noise_model"":""SD6_20"",""p"":0.0009500000000000001,""rounds"":1}"
       600,         2,         0,   0.009,pymatching,681a9259eb1bccc89e224b1b805a4129dec9e42d4b94b9e67fc5aa07201b3da0,"{""code"":""double_measurement_surface_code"",""d"":5,""noise_model"":""SD6_20"",""p"":0.0009500000000000001,""rounds"":1}"
      1800,         8,         0,   0.016,pymatching,681a9259eb1bccc89e224b1b805a4129dec9e42d4b94b9e67fc5aa07201b3da0,"{""code"":""double_measurement_surface_code"",""d"":5,""noise_model"":""SD6_20"",""p"":0.0009500000000000001,""rounds"":1}"
