     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata
       100,         0,         0,   0.196,pymatching,479f0b8685f8d6c73bb6f3e10aa5cedc12471097a1b54df1f7e125adb35cb365,"{""code"":""rotated_surface_code"",""diameter"":4,""noise_model"":""SD6_1"",""p"":0.0005,""rounds"":4}"
       200,         0,         0,   0.005,pymatching,479f0b8685f8d6c73bb6f3e10aa5cedc12471097a1b54df1f7e125adb35cb365,"{""code"":""rotated_surface_code"",""diameter"":4,""noise_model"":""SD6_1"",""p"":0.0005,""rounds"":4}"
       100,         0,         0,   0.194,pymatching,83e2bf73845ec1552e849fe1694e9b5bfcfd4486f217e31bc1682cd653d9f5d8,"{""code"":""rotated_surface_code"",""diameter"":4,""noise_model"":""SD6_1"",""p"":0.0007250000000000001,""rounds"":4}"
       600,         0,         0,   0.006,pymatching,479f0b8685f8d6c73bb6f3e10aa5cedc12471097a1b54df1f7e125adb35cb365,"{""code"":""rotated_surface_code"",""diameter"":4,""noise_model"":""SD6_1"",""p"":0.0005,""rounds"":4}"
       600,         0,         0,   0.005,pymatching,479f0b8685f8d6c73bb6f3e10aa5cedc12471097a1b54df1f7e125adb35cb365,"{""code"":""rotated_surface_code"",""diameter"":4,""noise_model"":""SD6_1"",""p"":0.0005,""rounds"":4}"
      1800,         2,         0,   0.008,pymatching,479f0b8685f8d6c73bb6f3e10aa5cedc12471097a1b54df1f7e125adb35cb365,"{""code"":""rotated_surface_code"",""diameter"":4,""noise_model"":""SD6_1"",""p"":0.0005,""rounds"":4}"
       100,         0,         0,   0.154,pymatching,03bc80f2a296f9bec265cb62d61e759ddfbfb84bb29454054eff4f9d558ca507,"{""code"":""rotated_surface_code"",""diameter"":4,""noise_model"":""SD6_1"",""p"":0.0014000000000000002,""rounds"":4}"
      3000,         0,         0,   0.010,pymatching,479f0b8685f8d6c73bb6f3e10aa5cedc12471097a1b54df1f7e125adb35cb365,"{""code"":""rotated_surface_code"",""diameter"":4,""noise_model"":""SD6_1"",""p"":0.0005,""rounds"":4}"
      6600,         3,         0,   0.011,pymatching,479f0b8685f8d6c73bb6f3e10aa5cedc12471097a1b54df1f7e125adb35cb365,"{""code"":""rotated_surface_code"",""diameter"":4,""noise_model"":""SD6_1"",""p"":0.0005,""rounds"":4}"
      6600,         3,         0,   0.017,pymatching,479f0b8685f8d6c73bb6f3e10aa5cedc12471097a1b54df1f7e125adb35cb365,"{""code"":""rotated_surface_code"",""diameter"":4,""noise_model"":""SD6_1"",""p"":0.0005,""rounds"":4}"
       100,         0,         0,   0.193,pymatching,6224af78518158198e1f732a9809ce970169609dfae1404478f13d457bea08a1,"{""code"":""rotated_surface_code"",""diameter"":4,""noise_model"":""SD6_1"",""p"":0.0009500000000000001,""rounds"":4}"
       100,         0,         0,   0.141,pymatching,d9720f63e1d1192ca46cfd0990e29af074247dce4052ebb33d141d285b87dc3f,"{""code"":""rotated_surface_code"",""diameter"":4,""noise_model"":""SD6_1"",""p"":0.0020750000000000005,""rounds"":4}"
     12600,         2,         0,   0.029,pymatching,479f0b8685f8d6c73bb6f3e10aa5cedc12471097a1b54df1f7e125adb35cb365,"{""code"":""rotated_surface_code"",""diameter"":4,""noise_model"":""SD6_1"",""p"":0.0005,""rounds"":4}"
       200,         1,         0,   0.004,pymatching,83e2bf73845ec1552e849fe1694e9b5bfcfd4486f217e31bc1682cd653d9f5d8,"{""code"":""rotated_surface_code"",""diameter"":4,""noise_model"":""SD6_1"",""p"":0.0007250000000000001,""rounds"":4}"
     25800,        10,         0,   0.034,pymatching,479f0b8685f8d6c73bb6f3e10aa5cedc12471097a1b54df1f7e125adb35cb365,"{""code"":""rotated_surface_code"",""diameter"":4,""noise_model"":""SD6_1"",""p"":0.0005,""rounds"":4}"
     11400,         5,         0,   0.016,pymatching,479f0b8685f8d6c73bb6f3e10aa5cedc12471097a1b54df1f7e125adb35cb365,"{""code"":""rotated_surface_code"",""diameter"":4,""noise_model"":""SD6_1"",""p"":0.0005,""rounds"":4}"
     20100,         6,         0,   0.042,pymatching,479f0b8685f8d6c73bb6f3e10aa5cedc12471097a1b54df1f7e125adb35cb365,"{""code"":""rotated_surface_code"",""diameter"":4,""noise_model"":""SD6_1"",""p"":0.0005,""rounds"":4}"
       100,         0,         0,   0.201,pymatching,d9855a8bf54438ae160a0aaab335cb29034a56f575e520c6f762adc23d58e2b1,"{""code"":""rotated_surface_code"",""diameter"":4,""noise_model"":""SD6_1"",""p"":0.001175,""rounds"":4}"
