     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata
       100,         0,         0,   0.078,pymatching,ec227314750c85b91bfea3d9f19002b25dd662320ffafb3e3eddce9231b616dc,"{""code"":""short_surface_code"",""d"":3,""p"":0.0001,""p_I"":0.75}"
       100,         0,         0,   0.029,pymatching,ffa7029d25b330bf7c3c1223eef178f4eb539f8bea6ac4ba3b0a246b7df63912,"{""code"":""short_surface_code"",""d"":3,""p"":0.0002,""p_I"":0.75}"
       100,         0,         0,   0.015,pymatching,4e10808ea895d6c2ff6695c744046cdf09d6ae2604b0e531422994716e94fc8a,"{""code"":""short_surface_code"",""d"":3,""p"":0.0003,""p_I"":0.75}"
       100,         0,         0,   0.014,pymatching,74d1fa2f4611347d2981bfa05f594884b400933f5f2956c0267c95080a7bd51c,"{""code"":""short_surface_code"",""d"":3,""p"":0.0005,""p_I"":0.75}"
       100,         0,         0,   0.014,pymatching,9be737a2ddb120f39169202f6ea6dd7912ea9200b8473045750467c6802a89db,"{""code"":""short_surface_code"",""d"":3,""p"":0.0007,""p_I"":0.75}"
       100,         2,         0,   0.014,pymatching,db3a6f5b79ccdaedeccdb9c96d93c7757c37efaa6c9d8cc85c00c0aff2189b03,"{""code"":""short_surface_code"",""d"":3,""p"":0.001,""p_I"":0.75}"
       100,         0,         0,   0.016,pymatching,a06049b73864fe5044635e0a3d053e6b5be1e738b2de4d1ea748a7fba6f0d25a,"{""code"":""short_surface_code"",""d"":3,""p"":0.0015,""p_I"":0.75}"
       100,         0,         0,   0.015,pymatching,4ef9f87bd08e6ece4558f90ee5e675e58cd52da331fc3590ee956e03a2bd0b8f,"{""code"":""short_surface_code"",""d"":3,""p"":0.002,""p_I"":0.75}"
       100,         2,         0,   0.015,pymatching,4d1b1330c217dfae221cb845cbb3516e61cc94f887a7c1ddbd6c49efbaf365a4,"{""code"":""short_surface_code"",""d"":3,""p"":0.003,""p_I"":0.75}"
       100,         2,         0,   0.032,pymatching,036b7ae580c66168067c34addbc0ea44cce1982036192d13af9620bfd56bacd3,"{""code"":""short_surface_code"",""d"":3,""p"":0.005,""p_I"":0.75}"
       200,         0,         0,   0.035,pymatching,ec227314750c85b91bfea3d9f19002b25dd662320ffafb3e3eddce9231b616dc,"{""code"":""short_surface_code"",""d"":3,""p"":0.0001,""p_I"":0.75}"
       200,         0,         0,   0.030,pymatching,ec227314750c85b91bfea3d9f19002b25dd662320ffafb3e3eddce9231b616dc,"{""code"":""short_surface_code"",""d"":3,""p"":0.0001,""p_I"":0.75}"
       200,         0,         0,   0.022,pymatching,ffa7029d25b330bf7c3c1223eef178f4eb539f8bea6ac4ba3b0a246b7df63912,"{""code"":""short_surface_code"",""d"":3,""p"":0.0002,""p_I"":0.75}"
       100,         0,         0,   0.013,pymatching,ffa7029d25b330bf7c3c1223eef178f4eb539f8bea6ac4ba3b0a246b7df63912,"{""code"":""short_surface_code"",""d"":3,""p"":0.0002,""p_I"":0.75}"
       100,         0,         0,   0.047,pymatching,ec227314750c85b91bfea3d9f19002b25dd662320ffafb3e3eddce9231b616dc,"{""code"":""short_surface_code"",""d"":3,""p"":0.0001,""p_I"":0.75}"
       200,         0,         0,   0.025,pymatching,ffa7029d25b330bf7c3c1223eef178f4eb539f8bea6ac4ba3b0a246b7df63912,"{""code"":""short_surface_code"",""d"":3,""p"":0.0002,""p_I"":0.75}"
       200,         0,         0,   0.026,pymatching,4e10808ea895d6c2ff6695c744046cdf09d6ae2604b0e531422994716e94fc8a,"{""code"":""short_surface_code"",""d"":3,""p"":0.0003,""p_I"":0.75}"
