     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata
       100,         0,         0,   0.049,pymatching,025f8548b538ffb6d25fe82aca3ccd4ae4bdbd69055e435469d6471f2ad3fa29,"{""code"":""surface_code"",""d"":3,""p"":0.0002,""p_I"":1.0}"
       100,         0,         0,   0.048,pymatching,1f5f9e6ed81ef06635aa1e97e2ad54cf1dc081dcb4f38f7ba5070253d9078ec9,"{""code"":""surface_code"",""d"":3,""p"":0.0001,""p_I"":1.0}"
       100,         0,         0,   0.053,pymatching,247bfc240a4fca72f8607ab72aaa8d3ad26e4a04eb9ec612506034fdddeed361,"{""code"":""surface_code"",""d"":3,""p"":0.0003,""p_I"":1.0}"
       100,         1,         0,   0.053,pymatching,3b62afc753f2b193c1d5892f7dbdc9a6ec099d952232ae6ca4d606f1e5986967,"{""code"":""surface_code"",""d"":3,""p"":0.0007,""p_I"":1.0}"
       100,         0,         0,   0.060,pymatching,86529828bfa52068ec7a31382d4ea17a66031096fc360c129212e5021ae63bbf,"{""code"":""surface_code"",""d"":3,""p"":0.0005,""p_I"":1.0}"
       100,         0,         0,   0.059,pymatching,7c551a57db70e255137bf3d0d05f687a2b11c4ba2c93c317eca9e871ced6bd52,"{""code"":""surface_code"",""d"":3,""p"":0.001,""p_I"":1.0}"
       100,         5,         0,   0.061,pymatching,87955fbf9ae7f35e651abeb5f7714ef29d762cf4b2f2bf7d2152c573e41113f6,"{""code"":""surface_code"",""d"":3,""p"":0.002,""p_I"":1.0}"
       100,         6,         0,   0.061,pymatching,98eacbf982102eb63bcddcdf9b5f8dbc521c8d79554358ea02756d93bf1ddff6,"{""code"":""surface_code"",""d"":3,""p"":0.003,""p_I"":1.0}"
       100,         2,         0,   0.071,pymatching,0de486fa0e291f58c416d7295ef5dafbe23bd85c1da34114df3a66810e5ad13f,"{""code"":""surface_code"",""d"":3,""p"":0.0015,""p_I"":1.0}"
       100,         7,         0,   0.068,pymatching,fce8495457130c7e984089baf1ab6ca04e51428712f10bb7440913ceaaa03157,"{""code"":""surface_code"",""d"":3,""p"":0.005,""p_I"":1.0}"
       100,         0,         0,   0.046,pymatching,1f5f9e6ed81ef06635aa1e97e2ad54cf1dc081dcb4f38f7ba5070253d9078ec9,"{""code"":""surface_code"",""d"":3,""p"":0.0001,""p_I"":1.0}"
       100,         0,         0,   0.052,pymatching,025f8548b538ffb6d25fe82aca3ccd4ae4bdbd69055e435469d6471f2ad3fa29,"{""code"":""surface_code"",""d"":3,""p"":0.0002,""p_I"":1.0}"
       200,         0,         0,   0.068,pymatching,1f5f9e6ed81ef06635aa1e97e2ad54cf1dc081dcb4f38f7ba5070253d9078ec9,"{""code"":""surface_code"",""d"":3,""p"":0.0001,""p_I"":1.0}"
       200,         0,         0,   0.072,pymatching,025f8548b538ffb6d25fe82aca3ccd4ae4bdbd69055e435469d6471f2ad3fa29,"{""code"":""surface_code"",""d"":3,""p"":0.0002,""p_I"":1.0}"
       200,         0,         0,   0.069,pymatching,1f5f9e6ed81ef06635aa1e97e2ad54cf1dc081dcb4f38f7ba5070253d9078ec9,"{""code"":""surface_code"",""d"":3,""p"":0.0001,""p_I"":1.0}"
