     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata
       100,         0,         0,   0.470,pymatching,7aa835c9f5afe96f6ee1732b349895e00ef4da7fa82b10b62d27c1fbbf5a0db5,"{""code"":""rotated_surface_code"",""d"":5,""noise_model"":""SD6_1"",""p"":0.0005,""rounds"":1}"
       200,         0,         0,   0.021,pymatching,7aa835c9f5afe96f6ee1732b349895e00ef4da7fa82b10b62d27c1fbbf5a0db5,"{""code"":""rotated_surface_code"",""d"":5,""noise_model"":""SD6_1"",""p"":0.0005,""rounds"":1}"
       100,         0,         0,   0.448,pymatching,14c7cee3ff392be73f4bd4250e2f6f8a2f8d7cb17ae9f638edece9c7e43d1923,"{""code"":""rotated_surface_code"",""d"":5,""noise_model"":""SD6_1"",""p"":0.0014000000000000002,""rounds"":1}"
       100,         0,         0,   0.480,pymatching,73ec6160cbcee9624f5f525267a8efd695363f68edb33b999a840148866c5e52,"{""code"":""rotated_surface_code"",""d"":5,""noise_model"":""SD6_1"",""p"":0.0007250000000000001,""rounds"":1}"
       600,         0,         0,   0.022,pymatching,7aa835c9f5afe96f6ee1732b349895e00ef4da7fa82b10b62d27c1fbbf5a0db5,"{""code"":""rotated_surface_code"",""d"":5,""noise_model"":""SD6_1"",""p"":0.0005,""rounds"":1}"
       600,         0,         0,   0.024,pymatching,7aa835c9f5afe96f6ee1732b349895e00ef4da7fa82b10b62d27c1fbbf5a0db5,"{""code"":""rotated_surface_code"",""d"":5,""noise_model"":""SD6_1"",""p"":0.0005,""rounds"":1}"
       300,         0,         0,   0.019,pymatching,7aa835c9f5afe96f6ee1732b349895e00ef4da7fa82b10b62d27c1fbbf5a0db5,"{""code"":""rotated_surface_code"",""d"":5,""noise_model"":""SD6_1"",""p"":0.0005,""rounds"":1}"
       100,         0,         0,   0.501,pymatching,2c6fced663bab1c411b9a15fa6c0963a4270726da8adc27d2f584e1505228bed,"{""code"":""rotated_surface_code"",""d"":5,""noise_model"":""SD6_1"",""p"":0.0009500000000000001,""rounds"":1}"
       100,         0,         0,   0.477,pymatching,708da37d820b2ed6618d94be26c3a23c12efaf9e97544e04ce1afcd9dcb89e07,"{""code"":""rotated_surface_code"",""d"":5,""noise_model"":""SD6_1"",""p"":0.0016250000000000001,""rounds"":1}"
      1800,         0,         0,   0.033,pymatching,7aa835c9f5afe96f6ee1732b349895e00ef4da7fa82b10b62d27c1fbbf5a0db5,"{""code"":""rotated_surface_code"",""d"":5,""noise_model"":""SD6_1"",""p"":0.0005,""rounds"":1}"
       100,         0,         0,   0.513,pymatching,14ff6b831f32ea0182bf38dd020ba2d7a909b49d17a39e7c2db49f169ebae8c2,"{""code"":""rotated_surface_code"",""d"":5,""noise_model"":""SD6_1"",""p"":0.001175,""rounds"":1}"
      3000,         0,         0,   0.041,pymatching,7aa835c9f5afe96f6ee1732b349895e00ef4da7fa82b10b62d27c1fbbf5a0db5,"{""code"":""rotated_surface_code"",""d"":5,""noise_model"":""SD6_1"",""p"":0.0005,""rounds"":1}"
       200,         0,         0,   0.024,pymatching,73ec6160cbcee9624f5f525267a8efd695363f68edb33b999a840148866c5e52,"{""code"":""rotated_surface_code"",""d"":5,""noise_model"":""SD6_1"",""p"":0.0007250000000000001,""rounds"":1}"
       600,         0,         0,   0.036,pymatching,7aa835c9f5afe96f6ee1732b349895e00ef4da7fa82b10b62d27c1fbbf5a0db5,"{""code"":""rotated_surface_code"",""d"":5,""noise_model"":""SD6_1"",""p"":0.0005,""rounds"":1}"
      3600,         1,         0,   0.047,pymatching,7aa835c9f5afe96f6ee1732b349895e00ef4da7fa82b10b62d27c1fbbf5a0db5,"{""code"":""rotated_surface_code"",""d"":5,""noise_model"":""SD6_1"",""p"":0.0005,""rounds"":1}"
      3600,         1,         0,   0.047,pymatching,7aa835c9f5afe96f6ee1732b349895e00ef4da7fa82b10b62d27c1fbbf5a0db5,"{""code"":""rotated_surface_code"",""d"":5,""noise_model"":""SD6_1"",""p"":0.0005,""rounds"":1}"
      4800,         1,         0,   0.056,pymatching,7aa835c9f5afe96f6ee1732b349895e00ef4da7fa82b10b62d27c1fbbf5a0db5,"{""code"":""rotated_surface_code"",""d"":5,""noise_model"":""SD6_1"",""p"":0.0005,""rounds"":1}"
      7200,         1,         0,   0.073,pymatching,7aa835c9f5afe96f6ee1732b349895e00ef4da7fa82b10b62d27c1fbbf5a0db5,"{""code"":""rotated_surface_code"",""d"":5,""noise_model"":""SD6_1"",""p"":0.0005,""rounds"":1}"
      3600,         0,         0,   0.080,pymatching,7aa835c9f5afe96f6ee1732b349895e00ef4da7fa82b10b62d27c1fbbf5a0db5,"{""code"":""rotated_surface_code"",""d"":5,""noise_model"":""SD6_1"",""p"":0.0005,""rounds"":1}"
     13200,         2,         0,   0.120,pymatching,7aa835c9f5afe96f6ee1732b349895e00ef4da7fa82b10b62d27c1fbbf5a0db5,"{""code"":""rotated_surface_code"",""d"":5,""noise_model"":""SD6_1"",""p"":0.0005,""rounds"":1}"
     21600,         2,         0,   0.187,pymatching,7aa835c9f5afe96f6ee1732b349895e00ef4da7fa82b10b62d27c1fbbf5a0db5,"{""code"":""rotated_surface_code"",""d"":5,""noise_model"":""SD6_1"",""p"":0.0005,""rounds"":1}"
