     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata
       100,         0,         0,   0.117,pymatching,11adefb94de876ee256961954f9568ec1001ff58def3f90a322a2df1cfe95579,"{""code"":""double_measurement_surface_code"",""diameter"":4,""noise_model"":""SI1000"",""p"":0.0005,""rounds"":4}"
       100,         1,         0,   0.004,pymatching,c49a0c4cead68a8fae21631a98fca963600c6eff7cf4c700143829060060d4e2,"{""code"":""double_measurement_surface_code"",""diameter"":4,""noise_model"":""SI1000"",""p"":0.0014000000000000002,""rounds"":4}"
       100,         0,         0,   0.006,pymatching,70b035cecb2509682382eda21d28931f959ed2023a8dd3d2c475069dc6f437f6,"{""code"":""double_measurement_surface_code"",""diameter"":4,""noise_model"":""SI1000"",""p"":0.0020750000000000005,""rounds"":4}"
       100,         0,         0,   0.004,pymatching,d84d58d06f14ba60d223ac41b34c4d50f5e3a55035c99443fa87e8432acc6a6e,"{""code"":""double_measurement_surface_code"",""diameter"":4,""noise_model"":""SI1000"",""p"":0.00185,""rounds"":4}"
       100,         1,         0,   0.004,pymatching,6f7e75fa216c9a688848e58aa3ec9d966a937ced37e3d1f327a2ab129424d1ad,"{""code"":""double_measurement_surface_code"",""diameter"":4,""noise_model"":""SI1000"",""p"":0.0016250000000000001,""rounds"":4}"
       100,         0,         0,   0.142,pymatching,ad0e939b2e077ce65998ad4e929e952d1e0559b1f236c1d6d69a1208cb32a086,"{""code"":""double_measurement_surface_code"",""diameter"":4,""noise_model"":""SI1000"",""p"":0.0007250000000000001,""rounds"":4}"
       100,         0,         0,   0.170,pymatching,c99a8f21966fd718f41885934713b444b776cf6e4e324571b12e0df26b1448b2,"{""code"":""double_measurement_surface_code"",""diameter"":4,""noise_model"":""SI1000"",""p"":0.001175,""rounds"":4}"
       100,         0,         0,   0.127,pymatching,49dedb51519ac9bdb51a67979b9a2e0809171a96ef0215ea53da47ea4e834bd6,"{""code"":""double_measurement_surface_code"",""diameter"":4,""noise_model"":""SI1000"",""p"":0.0009500000000000001,""rounds"":4}"
       100,         1,         0,   0.007,pymatching,74e50cdad2de914767ba8ad5373f5a6cd654549d5f7f029ad58b32c6991745b2,"{""code"":""double_measurement_surface_code"",""diameter"":4,""noise_model"":""SI1000"",""p"":0.0023,""rounds"":4}"
       100,         3,         0,   0.005,pymatching,16a7272943849108099c735fc2b23b33cd452e9171efecd38e7d448932c6532d,"{""code"":""double_measurement_surface_code"",""diameter"":4,""noise_model"":""SI1000"",""p"":0.003425,""rounds"":4}"
