     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata
       100,         0,         0,   0.496,pymatching,62fcd5d079b986b6c30cada83898a70006e5acbee78333ecc14192562c9063f8,"{""code"":""double_measurement_surface_code"",""diameter"":4,""measurement_noise_factor"":1,""noise_model"":""SD6_1"",""p"":0.0009500000000000001,""rounds"":4}"
       200,         0,         0,   0.007,pymatching,62fcd5d079b986b6c30cada83898a70006e5acbee78333ecc14192562c9063f8,"{""code"":""double_measurement_surface_code"",""diameter"":4,""measurement_noise_factor"":1,""noise_model"":""SD6_1"",""p"":0.0009500000000000001,""rounds"":4}"
       600,         1,         0,   0.009,pymatching,62fcd5d079b986b6c30cada83898a70006e5acbee78333ecc14192562c9063f8,"{""code"":""double_measurement_surface_code"",""diameter"":4,""measurement_noise_factor"":1,""noise_model"":""SD6_1"",""p"":0.0009500000000000001,""rounds"":4}"
       100,         0,         0,   0.519,pymatching,72447380bbe3ea485cac21c1bfc9f5d56595c62609c19717489b8afbee62e72a,"{""code"":""double_measurement_surface_code"",""diameter"":4,""measurement_noise_factor"":1,""noise_model"":""SD6_1"",""p"":0.0005,""rounds"":4}"
       200,         1,         0,   0.008,pymatching,72447380bbe3ea485cac21c1bfc9f5d56595c62609c19717489b8afbee62e72a,"{""code"":""double_measurement_surface_code"",""diameter"":4,""measurement_noise_factor"":1,""noise_model"":""SD6_1"",""p"":0.0005,""rounds"":4}"
      1800,         2,         0,   0.010,pymatching,62fcd5d079b986b6c30cada83898a70006e5acbee78333ecc14192562c9063f8,"{""code"":""double_measurement_surface_code"",""diameter"":4,""measurement_noise_factor"":1,""noise_model"":""SD6_1"",""p"":0.0009500000000000001,""rounds"":4}"
       100,         0,         0,   0.513,pymatching,30ea3d7618ac45aecd90b2b3848b9e8bc312a1322cd0f16dbe092c17fad7c683,"{""code"":""double_measurement_surface_code"",""diameter"":4,""measurement_noise_factor"":1,""noise_model"":""SD6_1"",""p"":0.0007250000000000001,""rounds"":4}"
       600,         0,         0,   0.007,pymatching,72447380bbe3ea485cac21c1bfc9f5d56595c62609c19717489b8afbee62e72a,"{""code"":""double_measurement_surface_code"",""diameter"":4,""measurement_noise_factor"":1,""noise_model"":""SD6_1"",""p"":0.0005,""rounds"":4}"
       300,         0,         0,   0.005,pymatching,72447380bbe3ea485cac21c1bfc9f5d56595c62609c19717489b8afbee62e72a,"{""code"":""double_measurement_surface_code"",""diameter"":4,""measurement_noise_factor"":1,""noise_model"":""SD6_1"",""p"":0.0005,""rounds"":4}"
       600,         0,         0,   0.007,pymatching,72447380bbe3ea485cac21c1bfc9f5d56595c62609c19717489b8afbee62e72a,"{""code"":""double_measurement_surface_code"",""diameter"":4,""measurement_noise_factor"":1,""noise_model"":""SD6_1"",""p"":0.0005,""rounds"":4}"
      2400,         0,         0,   0.011,pymatching,72447380bbe3ea485cac21c1bfc9f5d56595c62609c19717489b8afbee62e72a,"{""code"":""double_measurement_surface_code"",""diameter"":4,""measurement_noise_factor"":1,""noise_model"":""SD6_1"",""p"":0.0005,""rounds"":4}"
      1800,         0,         0,   0.012,pymatching,72447380bbe3ea485cac21c1bfc9f5d56595c62609c19717489b8afbee62e72a,"{""code"":""double_measurement_surface_code"",""diameter"":4,""measurement_noise_factor"":1,""noise_model"":""SD6_1"",""p"":0.0005,""rounds"":4}"
       100,         1,         0,   0.493,pymatching,2620e58ad91e5a07995b63a113d90aa09200602645b3da729afd70f47d4ce75a,"{""code"":""double_measurement_surface_code"",""diameter"":4,""measurement_noise_factor"":1,""noise_model"":""SD6_1"",""p"":0.00185,""rounds"":4}"
       100,         0,         0,   0.514,pymatching,ec5e1ae029bb6a368592df9b317dcf0c97b14494d344af7f294fe8a440f0ac64,"{""code"":""double_measurement_surface_code"",""diameter"":4,""measurement_noise_factor"":1,""noise_model"":""SD6_1"",""p"":0.0014000000000000002,""rounds"":4}"
      3600,         0,         0,   0.018,pymatching,72447380bbe3ea485cac21c1bfc9f5d56595c62609c19717489b8afbee62e72a,"{""code"":""double_measurement_surface_code"",""diameter"":4,""measurement_noise_factor"":1,""noise_model"":""SD6_1"",""p"":0.0005,""rounds"":4}"
       100,         0,         0,   0.532,pymatching,670a05b29feb35e6a7d76a6379e4f23421d1f16e87700aef0cf498dabc149c44,"{""code"":""double_measurement_surface_code"",""diameter"":4,""measurement_noise_factor"":1,""noise_model"":""SD6_1"",""p"":0.001175,""rounds"":4}"
       200,         0,         0,   0.007,pymatching,30ea3d7618ac45aecd90b2b3848b9e8bc312a1322cd0f16dbe092c17fad7c683,"{""code"":""double_measurement_surface_code"",""diameter"":4,""measurement_noise_factor"":1,""noise_model"":""SD6_1"",""p"":0.0007250000000000001,""rounds"":4}"
       100,         0,         0,   0.505,pymatching,6571cdc8e5ba347b0d187954e3e9990ac2abd23615823c171b7381c4d5301456,"{""code"":""double_measurement_surface_code"",""diameter"":4,""measurement_noise_factor"":1,""noise_model"":""SD6_1"",""p"":0.0016250000000000001,""rounds"":4}"
       100,         0,         0,   0.424,pymatching,a20a57f15cb066a162a4c6f6631359c95b77ea3432f256fdb321291dc78c5255,"{""code"":""double_measurement_surface_code"",""diameter"":4,""measurement_noise_factor"":1,""noise_model"":""SD6_1"",""p"":0.0020750000000000005,""rounds"":4}"
       600,         0,         0,   0.009,pymatching,30ea3d7618ac45aecd90b2b3848b9e8bc312a1322cd0f16dbe092c17fad7c683,"{""code"":""double_measurement_surface_code"",""diameter"":4,""measurement_noise_factor"":1,""noise_model"":""SD6_1"",""p"":0.0007250000000000001,""rounds"":4}"
       600,         0,         0,   0.009,pymatching,30ea3d7618ac45aecd90b2b3848b9e8bc312a1322cd0f16dbe092c17fad7c683,"{""code"":""double_measurement_surface_code"",""diameter"":4,""measurement_noise_factor"":1,""noise_model"":""SD6_1"",""p"":0.0007250000000000001,""rounds"":4}"
       300,         0,         0,   0.006,pymatching,30ea3d7618ac45aecd90b2b3848b9e8bc312a1322cd0f16dbe092c17fad7c683,"{""code"":""double_measurement_surface_code"",""diameter"":4,""measurement_noise_factor"":1,""noise_model"":""SD6_1"",""p"":0.0007250000000000001,""rounds"":4}"
      2400,         0,         0,   0.015,pymatching,72447380bbe3ea485cac21c1bfc9f5d56595c62609c19717489b8afbee62e72a,"{""code"":""double_measurement_surface_code"",""diameter"":4,""measurement_noise_factor"":1,""noise_model"":""SD6_1"",""p"":0.0005,""rounds"":4}"
      6000,         0,         0,   0.025,pymatching,72447380bbe3ea485cac21c1bfc9f5d56595c62609c19717489b8afbee62e72a,"{""code"":""double_measurement_surface_code"",""diameter"":4,""measurement_noise_factor"":1,""noise_model"":""SD6_1"",""p"":0.0005,""rounds"":4}"
      8400,         2,         0,   0.026,pymatching,72447380bbe3ea485cac21c1bfc9f5d56595c62609c19717489b8afbee62e72a,"{""code"":""double_measurement_surface_code"",""diameter"":4,""measurement_noise_factor"":1,""noise_model"":""SD6_1"",""p"":0.0005,""rounds"":4}"
      1800,         1,         0,   0.014,pymatching,30ea3d7618ac45aecd90b2b3848b9e8bc312a1322cd0f16dbe092c17fad7c683,"{""code"":""double_measurement_surface_code"",""diameter"":4,""measurement_noise_factor"":1,""noise_model"":""SD6_1"",""p"":0.0007250000000000001,""rounds"":4}"
      3600,         1,         0,   0.014,pymatching,30ea3d7618ac45aecd90b2b3848b9e8bc312a1322cd0f16dbe092c17fad7c683,"{""code"":""double_measurement_surface_code"",""diameter"":4,""measurement_noise_factor"":1,""noise_model"":""SD6_1"",""p"":0.0007250000000000001,""rounds"":4}"
      3000,         0,         0,   0.017,pymatching,30ea3d7618ac45aecd90b2b3848b9e8bc312a1322cd0f16dbe092c17fad7c683,"{""code"":""double_measurement_surface_code"",""diameter"":4,""measurement_noise_factor"":1,""noise_model"":""SD6_1"",""p"":0.0007250000000000001,""rounds"":4}"
     12000,         4,         0,   0.044,pymatching,72447380bbe3ea485cac21c1bfc9f5d56595c62609c19717489b8afbee62e72a,"{""code"":""double_measurement_surface_code"",""diameter"":4,""measurement_noise_factor"":1,""noise_model"":""SD6_1"",""p"":0.0005,""rounds"":4}"
       100,         0,         0,   0.405,pymatching,4331a22f9d696d53f7ce9053154c324df7d24f07190b550264661969932ef7ac,"{""code"":""double_measurement_surface_code"",""diameter"":4,""measurement_noise_factor"":1,""noise_model"":""SD6_1"",""p"":0.0025250000000000003,""rounds"":4}"
       100,         0,         0,   0.348,pymatching,c409beeeffdc069fa6d90e3158a6c076f8148daed2ef7b6305fdc1a709c56a41,"{""code"":""double_measurement_surface_code"",""diameter"":4,""measurement_noise_factor"":1,""noise_model"":""SD6_1"",""p"":0.0023,""rounds"":4}"
      7200,         5,         0,   0.035,pymatching,30ea3d7618ac45aecd90b2b3848b9e8bc312a1322cd0f16dbe092c17fad7c683,"{""code"":""double_measurement_surface_code"",""diameter"":4,""measurement_noise_factor"":1,""noise_model"":""SD6_1"",""p"":0.0007250000000000001,""rounds"":4}"
     19200,         3,         0,   0.068,pymatching,72447380bbe3ea485cac21c1bfc9f5d56595c62609c19717489b8afbee62e72a,"{""code"":""double_measurement_surface_code"",""diameter"":4,""measurement_noise_factor"":1,""noise_model"":""SD6_1"",""p"":0.0005,""rounds"":4}"
